GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
E-Commerce,com.hcl.ecommerce.dto,StoreProductDto,3,35,0,0,1,6,1,10,1,10
E-Commerce,com.hcl.ecommerce.dto,StoreDto,0,24,0,0,0,5,0,7,0,7
E-Commerce,com.hcl.ecommerce.dto,ProductDto,0,17,0,0,0,4,0,5,0,5
E-Commerce,com.hcl.ecommerce.dto,ReviewDto,0,24,0,0,0,5,0,7,0,7
E-Commerce,com.hcl.ecommerce.entity,Store,12,19,0,0,4,2,4,5,4,5
E-Commerce,com.hcl.ecommerce.entity,Product,0,24,0,0,0,5,0,7,0,7
E-Commerce,com.hcl.ecommerce.entity,User,17,7,0,0,3,2,5,2,5,2
E-Commerce,com.hcl.ecommerce.entity,Review,3,28,0,0,1,5,1,8,1,8
E-Commerce,com.hcl.ecommerce.entity,StoreProduct,6,32,0,0,2,5,2,9,2,9
E-Commerce,com.hcl.ecommerce,ECommerceApplication,8,0,0,0,3,0,2,0,2,0
E-Commerce,com.hcl.ecommerce.controller,StoreController,0,31,0,8,0,5,0,6,0,2
E-Commerce,com.hcl.ecommerce.controller,ProductController,0,46,0,8,0,7,0,7,0,3
E-Commerce,com.hcl.ecommerce.controller,ReviewController,0,29,0,8,0,4,0,6,0,2
E-Commerce,com.hcl.ecommerce.controller,StoreProductController,0,32,0,2,0,5,0,4,0,3
E-Commerce,com.hcl.ecommerce.service,StoreProductServiceImpl,0,110,0,2,0,26,0,4,0,3
E-Commerce,com.hcl.ecommerce.service,ProductServiceImpl,0,71,0,4,0,17,0,6,0,4
E-Commerce,com.hcl.ecommerce.service,StoreServiceImpl,0,26,0,0,0,7,0,2,0,2
E-Commerce,com.hcl.ecommerce.service,ReviewServiceImpl,0,45,0,4,0,13,0,4,0,2
E-Commerce,com.hcl.ecommerce.exception,ProductNotFoundException,0,4,0,0,0,2,0,1,0,1
